score	id1	id2	blockString	subQuery
1	0	0	 [BLK]  [DES] sports [DES] are played at Vishwajyot High School	 [TRP] ?e0 sports Vishwajyot High School
0	1	1	 [BLK]  [DES] the sea [DES] flows into the Atlantic	 [TRP] ?e1 box width Atlantic (train)
0	2	2	 [BLK]  [DES] are located in Herzogenaurach [DES] sporting goods companies	 [TRP] ?e0 location city Herzogenaurach
1	3	3	 [BLK]  [DES] the characters [DES] created by Frank Miller	 [TRP] ?e0 creator (agent) Frank Miller (comics)
1	4	4	 [BLK]  [DES] TV show [DES] writer is Erik Jendresen [DES] distributor is HBO	 [TRP] ?e0 writer Erik Jendresen
0	5	5	 [BLK]  [DES] did Paul Jones do his highschool	 [TRP] ?e0 short description Paul Jones (boxer)
0	6	6	 [BLK]  [DES] are the musicals of #entity1 [BLK]  [DES] the people [DES] died in California	 [TRP] ?e1 PLACE OF DEATH California [TRP] ?e0 occupation ?e1
1	7	7	 [BLK]  [DES] the company [DES] serves in Pacific Ocean	 [TRP] ?e1 region served Pacific Ocean [TRP] ?e1 type company
1	8	8	 [BLK]  [DES] scientist [DES] is Georg Meissner [DES] is known for invention of Anthrax	 [TRP] ?e0 known for Anthrax [TRP] ?e0 doctoral advisor Georg Meissner
0	9	9	 [BLK]  [DES] religions [DES] are followed by economists	 [TRP] ?e0 relation Economist
1	10	10	 [BLK]  [DES] down [DES] the prime ministers of Peter Thorneycroft	 [TRP] ?e0 prime minister Peter Thorneycroft
0	11	11	 [BLK]  [DES] monarch [DES] did Li Si succeed someone	 [TRP] ?e0 deputy Li Si
1	12	12	 [BLK]  [DES] awards [DES] did #entity1 win [BLK]  [DES] the cast members of Gods of Egypt	 [TRP] ?e1 starring Gods of Egypt (film) [TRP] ?e0 awards ?e1 [TRP] ?e0 type award
0	13	13	 [BLK]  [DES] show [DES] has judge as Randy Jackson sculptors as Simon Fuller	 [TRP] ?e0 occupation Randy Jackson
1	14	14	 [BLK]  [DES] is the nationality of #entity1 [BLK]  [DES] the successor of Nii Okaidja Adamafio	 [TRP] ?e1 predecessor Nii Okaidja Adamafio [TRP] ?e0 region ?e1
1	15	15	 [BLK]  [DES] has Best Mate won [DES] races	 [TRP] ?e0 race Best Mate
0	16	16	 [BLK]  [DES] have been awarded to #entity1 [DES] awards [BLK]  [DES] people [DES] are buried in Glendale , California	 [TRP] ?e1 country California [TRP] ?e0 nominee ?e1
1	17	17	 [BLK]  [DES] is the local authority of the Buckhurst Hill County High School [DES] the birth place of Sarah hampion	 [TRP] ?e0 local authority Buckhurst Hill County High School
1	18	18	 [BLK]  [DES] is the field of interest of #entity1 [BLK]  [DES] the advisor of Henri Maspero	 [TRP] ?e1 academic advisors Henri Maspero [TRP] ?e0 fields ?e1
0	19	19	 [BLK]  [DES] the airlines [DES] whose flights go to the Mediterranean sea	 [TRP] ?e1 Location Mediterranean Sea
0	20	20	 [BLK]  [DES] members [DES] are there of #entity1 [BLK]  [DES] the order of Bacillales	 [TRP] ?e1 ordo Bacillales [TRP] ?e0 field ?e1
1	21	21	 [BLK]  [DES] a office holder [DES] whose predecessor is Edward Douglass White [DES] has #entity1 [BLK]  [DES] son [DES] named Charles Phelps Taft II	 [TRP] ?e0 child Charles Phelps Taft II [TRP] ?e0 predecessor Edward Douglass White
0	22	22	 [BLK]  [DES] are there , of #entity1 [DES] major shrine [BLK]  [DES] saints [DES] beatified by Pope Pius XI	 [TRP] ?e1 beatified by Pope Pius XII [TRP] ?e0 major shrine ?e1
1	23	23	 [BLK]  [DES] is the common product of the Apple Productivity Experience Group [DES] services of the 21Vianet	 [TRP] ?e0 service 21Vianet [TRP] ?e0 product Apple Productivity Experience Group
1	24	24	 [BLK]  [DES] railway [DES] ends in Kazan	 [TRP] ?e1 route end Kazan
1	25	25	 [BLK]  [DES] the movies [DES] are distributed by Artisan Entertainment	 [TRP] ?e1 distributor Artisan Entertainment [TRP] ?e1 type movie
0	26	26	 [BLK]  [DES] did soccer bowl take place in 76	 [TRP] ?e0 stadium Soccer Bowl '78
1	27	27	 [BLK]  [DES] the alma mater of #entity1 [BLK]  [DES] the person [DES] is wedded to Sissela Bok	 [TRP] ?e1 spouse Sissela Bok [TRP] ?e0 alma mater ?e1
1	28	28	 [BLK]  [DES] the players of Azam F.C. play	 [TRP] ?e1 currentclub Azam F.C.
0	29	29	 [BLK]  [DES] the lake [DES] has Benu river as one of it	 [TRP] ?e1 region Benué River
1	30	30	 [BLK]  [DES] movies [DES] produced by Laurence Mark	 [TRP] ?e1 producer Laurence Mark [TRP] ?e1 type movie
0	31	31	 [BLK]  [DES] arena [DES] The Palace of Auburn hills has president as Stan Van Gundy	 [TRP] ?e1 home arena The Palace of Auburn Hills
0	32	32	 [BLK]  [DES] are some players of England national football team	 [TRP] ?e0 currentclub England national football team
0	33	33	 [BLK]  [DES] labels [DES] sign up progressive rock artists	 [TRP] ?e0 seealso List of progressive rock artists
0	34	34	 [BLK]  [DES] are the organisation founded in Texas [DES] are the organisation founded in Dallas	 [TRP] ?e0 location city Texas [TRP] ?e0 location city Dallas
1	35	35	 [BLK]  [DES] basketball team [DES] Jeff Munn is the president of	 [TRP] ?e0 President Jeff Munn
0	36	36	 [BLK]  [DES] movies [DES] have the music composer composed #entity1 [BLK]  [DES] have collaborated with Yes [DES] music	 [TRP] ?e1 music Yes (band) [TRP] ?e0 starring ?e1
0	37	37	 [BLK]  [DES] sports [DES] are played at #entity1 [BLK]  [DES] the university [DES] whose president is Emanuel de Guzman	 [TRP] ?e1 President Emanuel de Guzman [TRP] ?e1 type university [TRP] ?e0 sports ?e1
0	38	38	 [BLK]  [DES] the athlete with Balgowan	 [TRP] ?e1 country Balgowan, Dundee
1	39	39	 [BLK]  [DES] is the film director of Alice's Wonderland	 [TRP] ?e0 film director Alice's Wonderland
0	40	40	 [BLK]  [DES] medals have been given to people who died of lung cancer	 [TRP] ?e0 publisher Lung Cancer (journal)
1	41	41	 [BLK]  [DES] is the Nickname of Daniel O'Regan	 [TRP] ?e0 Nickname Daniel O'Regan
1	42	42	 [BLK]  [DES] the relative of Rachel Rasmussen	 [TRP] ?e1 relative Rachel Rasmussen
0	43	43	 [BLK]  [DES] different people [DES] have been in any political seat in #entity1 [BLK]  [DES] places [DES] are under the Indian Standard timezone	 [TRP] ?e1 time zone Indian Standard Time [TRP] ?e0 country ?e1
0	44	44	 [BLK]  [DES] the awards [DES] the recepients of the Becket fund for religious liberty	 [TRP] ?e0 practice areas Becket Fund for Religious Liberty
0	45	45	 [BLK]  [DES] the american football league [DES] whose champion is from Kansas City , Missouri	 [TRP] ?e0 home town Missouri
0	46	46	 [BLK]  [DES] the public transit system [DES] operators Go-to-card	 [TRP] ?e1 service Leap card [TRP] ?e1 type public transit system
0	47	47	 [BLK]  [DES] the TV [DES] #entity2 Makes 3 [BLK]  [DES] Episodes [DES] whose #entity3 Mama [BLK]  [DES] music [DES] done by Mama	 [TRP] ?e3 musical band Mama Say [TRP] ?e2 home town ?e3 [TRP] ?e1 occupation ?e2
0	48	48	 [BLK]  [DES] different teams [DES] have #entity1 been [BLK]  [DES] all those [DES] have played as a defenceman	 [TRP] ?e1 Team David Savard [TRP] ?e0 Team Name  ?e1
1	49	49	 [BLK]  [DES] company's boards [DES] does#entity1 sit [BLK]  [DES] the founder of Bomis	 [TRP] ?e1 founder Bomis [TRP] ?e0 boards ?e1
1	50	50	 [BLK]  [DES] NASA astronaut [DES] was on mission Gemini 8	 [TRP] ?e0 mission Gemini 8
1	51	51	 [BLK]  [DES] is the governing body of Burro Flats Painted Cave	 [TRP] ?e0 governing body Burro Flats Painted Cave
0	52	52	 [BLK]  [DES] creator of Theme Time Radio Hour [DES] has also given #entity1 [BLK]  [DES] the musical score of the The Times They Are a-Changin '(musical)	 [TRP] ?e1 associated band The Color Changin' Click [TRP] ?e0 associated band ?e1
0	53	53	 [BLK]  [DES] were held in Watkins Glen , NY [DES] Enumerate all #entity1 [BLK]  [DES] the first teams of the GPs	 [TRP] ?e1 associated band GPS (band) [TRP] ?e0 Instrument ?e1
0	54	54	 [BLK]  [DES] political party [DES] do#entity1 belong [BLK]  [DES] the children of Sonia Gandhi	 [TRP] ?e1 child Sonia Gandhi [TRP] ?e0 relation ?e1
0	55	55	 [BLK]  [DES] the TV [DES] #entity2 Makes 3 [BLK]  [DES] Episodes [DES] whose #entity3 Mama [BLK]  [DES] music [DES] done by Mama	 [TRP] ?e3 musical band Mama Say [TRP] ?e2 associated band ?e3 [TRP] ?e1 Artist ?e2
0	56	56	 [BLK]  [DES] the musical score of the The Times They Are a-Changin '(musical)	 [TRP] ?e1 former band member The Color Changin' Click
1	57	57	 [BLK]  [DES] sports [DES] are played at #entity1 [BLK]  [DES] the university [DES] whose president is Emanuel de Guzman	 [TRP] ?e1 President Emanuel de Guzman [TRP] ?e1 type university [TRP] ?e0 sport ?e1 [TRP] ?e0 type sport
0	58	58	 [BLK]  [DES] does #entity1 end , into [BLK]  [DES] river [DES] the Rakitnica flows	 [TRP] ?e1 right tributary Rakitnica [TRP] ?e0 city ?e1
0	59	59	 [BLK]  [DES] the ones [DES] died of lung cancer	 [TRP] ?e1 cause death Lung cancer
0	60	60	 [BLK]  [DES] other places [DES] are there companies which are in Ontario , too	 [TRP] ?e0 birth place Ontario
0	61	61	 [BLK]  [DES] the past [DES] Boston Bruins members played	 [TRP] ?e0 team Boston Bruins
0	62	62	 [BLK]  [DES] the youth club [DES] owns the Rosario , Santa Fe stadium	 [TRP] ?e1 home town Rosario, Santa Fe
0	63	63	 [BLK]  [DES] a count on associates of Johnny Cash	 [TRP] ?e0 associated musical artist Johnny Cash
1	64	64	 [BLK]  [DES] region [DES] was political figure Wayne Allard elected	 [TRP] ?e0 region Wayne Allard
0	65	65	 [BLK]  [DES] the pupils of Laureano Ibarra	 [TRP] ?e1 retired Laureano Ibarra
0	66	66	 [BLK]  [DES] did the graduates of #entity1 [BLK]  [DES] the university of west indies study	 [TRP] ?e1 territory West Indies [TRP] ?e0 denomination ?e1
1	67	67	 [BLK]  [DES] languages [DES] did Marika Gombitova sing	 [TRP] ?e0 d Marika Gombitová
0	68	68	 [BLK]  [DES] Henri , Duke of Rohan [DES] laid to rest	 [TRP] ?e0 country Laid to Rest (film)
1	69	69	 [BLK]  [DES] all the doctoral student of #entity1 [BLK]  [DES] the scientist [DES] who [DES] supervised Mary Ainsworth	 [TRP] ?e1 doctoral student Mary Ainsworth [TRP] ?e1 type scientist [TRP] ?e0 doctoral student ?e1
0	70	70	 [BLK]  [DES] some cars similar to #entity1 [BLK]  [DES] ones [DES] are assembled at the Jefferson North Assembly	 [TRP] ?e1 assembly Jefferson North Assembly [TRP] ?e0 automobile platform ?e1
0	71	71	 [BLK]  [DES] the different religions [DES] practiced by #entity1 [BLK]  [DES] people [DES] are in the Malaysian [DES] are in the Chinese association	 [TRP] ?e1 headquarters Chinese Chess Association [TRP] ?e0 occupation ?e1
1	72	72	 [BLK]  [DES] the country [DES] whose leader name is Grard Larcher	 [TRP] ?e0 leader Gérard Larcher [TRP] ?e0 type country
1	73	73	 [BLK]  [DES] religion [DES] are in the Royal Thai Army [DES] followers	 [TRP] ?e0 military branch Royal Thai Army
0	74	74	 [BLK]  [DES] are aired on Comedy Central [DES] shows	 [TRP] ?e0 network Comedy Central (Israel)
