Quality	#1 ID	#2 ID	#1 String	#2 String
0	2952	295200003	notable commanders of the is the leader of the	longew
0	2687	268700005	people played for	winners
0	382	38200005	is the author of	magazine en
0	496	49600005	d officer's final resting place is belongs to branch	population density km
0	446	44600006	On subject does air	frequency
0	2857	285700006	Does the stylistic origins of lie in the	instrument
1	3105	310500001	Is the railway junction onwed by Indian Railway Ministry	owning organisation
1	3078	307800001	is the source location of	source location
0	80	8000003	total religions are followed by people hometown is some in	offices
0	658	65800003	were held by the politicians held their allegiance to the of american civil war	party
0	1076	107600006	List the located someplace lead by	candidate
0	1629	162900004	List all the presidents of the had atleast one of the president as	active years end year
0	890	89000003	In sects was the aristocrat venerated parent is Thelred the Unready	father
0	2136	213600007	all were involved in the wars fought by the commander	death date
0	879	87900005	all play for of the s at position	title
0	3797	379700007	automobile platform provider of is the parent company of the	sp
0	1376	137600002	is the district of	caption
0	1995	199500006	was the university of the rugby player coached the rugby teams during 	time
1	1662	166200001	List the outflows of the lake has Benu river as of it	outflow
0	1079	107900007	Among the having as mascot have as superintendent	status system
1	780	78000001	are some s distributors are led by	distributor
1	2176	217600001	is the headquarters of the public transit system owns a	headquarters
0	3695	369500006	mountain ranges are located in the	lat min
0	2274	227400006	In part of the world will I find and	number
0	3196	319600003	is the draft team of the has player named	birth date
0	2418	241800007	did the predecessor is play for	birth place
0	310	31000003	all the group speaks language belongs to family	glotto
0	2642	264200004	the capital of	established date
0	3339	333900003	companies have manufactured the rockets launched from the	type
1	926	92600002	was the successor of born	birth place
0	299	29900005	the with source as its mouth is located in	population as of
1	2153	215300002	artist was associated closely with rock a doodle	starring
0	2896	289600003	is the draft team of	goalsleader
0	616	61600006	wars took place in	locations
0	1930	193000006	are the s Composer is	writer
0	895	89500003	work of is close to the area of The Chess Monthyl	country
0	3286	328600005	is the political party to is a member of	title
0	2809	280900005	causes of death have been associated with citizens	latm
0	602	60200005	Does play the	drum
0	1481	148100003	are the shareholder of the s owning company is	producer
1	449	44900002	parent company of was the first team of the	first team
0	3184	318400004	is presented by	location
0	929	92900004	the partners of	birth date
0	187	18700006	people live in	area code
0	3619	361900003	are some s publishers are themselves members	established
0	3182	318200003	nickname of is the mascot of	championships
0	1007	100700004	To political party does the writer of belong	language
0	3369	336900005	was the head coach of season - the coach of national under footbal team	league
0	2146	214600004	is the mouth is in deadsea	may low c
1	125	12500001	is the member of	current members
1	3409	340900001	Organization holding stocks of Galician s	owner
0	1938	193800006	In places did	name
0	1803	180300005	is the state of is the state of	iso
1	3625	362500002	is the origin of the wine region is the	origin
0	3703	370300003	cities are close to	death place
0	847	84700005	city's mayor is married to	order in office
1	959	95900002	is relgions followed by people born in	birth place
1	685	68500001	domain's did edit	editor
0	1187	118700004	the home town of	website
0	3743	374300004	is the club of	birth year
0	3646	364600007	did the take place de I'Isle was a commander	birth place
1	666	66600002	program is presented by has artist as	creator
0	687	68700002	is managed by	stat5label
0	577	57700005	Is a part of monarch of 	n
0	3304	330400003	was the vice president under served	birth name
0	3280	328000003	For teams have the league players of previously played	caption
0	2462	246200006	people are in the	military rank
0	3341	334100002	uses + as programming language	latest release version
0	304	30400005	university was attended by both and	date of birth
1	276	27600001	the range is parent peak is	mountain range
0	3263	326300004	company owns the s hub is in	birth date
0	2292	229200005	actors have performed in s performed in	territory
0	3617	361700006	are some by	producer
0	3250	325000007	In states can one fd kd of bridges	material
0	2108	210800006	are politicians of party	birth year
0	257	25700004	awards did the founder of win	assets
1	3407	340700001	List down all the bands to the writers of are associated	writer
1	1909	190900001	In nation does the take place play	country
1	2284	228400002	are the awards won by the producer of (film)	award
0	1904	190400005	a royalty one of the child is is associated with	characters
1	1912	191200001	List all areas served by the serving	area
0	529	52900005	first ascented a mountain of	first ascent year
1	465	46500002	shareholder of is the operator of	operator
0	3907	390700005	people are famous for the	bodytype
0	3132	313200003	does District Judge live	term end
0	2044	204400003	sports are played at affiliated by the of Higher Learning	affiliations
1	1163	116300001	publishes genre of	genre
0	1892	189200004	is the governing body of	nrhp reference number
1	3332	333200001	is professions in someone has d worked	occupation
1	3534	353400002	In places are found	location
1	1324	132400001	did the president study 's the president of	alma mater
1	892	89200001	is the build jointly by and	manufacturer
0	2058	205800002	Is a book about	pages
0	1898	189800003	Wo countries have the members of Ukrainian swore their oath	national
1	3797	379700001	automobile platform provider of is the parent company of the	automobile platform
0	2559	255900007	is that show theme was composed by	composer
0	2689	268900003	is the official name of	is part of wine region
0	1846	184600004	s have had a cinematographer died in	country
0	2025	202500005	has s	death place
0	166	16600005	is the broadcast area of (SW)	website
0	1865	186500005	produces the tv series made famous	starring
0	2200	220000003	are the notableworks of	influenced by
0	2218	221800007	can I find hometown is in	may low f
1	3496	349600001	is related to &	relatives
0	1811	181100003	List the sports of are of interest of	city
0	2157	215700005	In tv did act	birth place
0	3802	380200003	an has as one of the shore city	feb mean c
1	1578	157800002	religion followers are the members of	religion
0	3102	310200005	s were founded by ann	guests
0	243	24300004	Was Duanne known to play the	pickups
1	1645	164500002	the commanders of s was one of the commander	commander
0	2812	281200005	s's screenplay is written by	studio
1	3961	396100001	other school are there of the rugby players school is	school
0	1760	176000004	The shrine is in 's Basilica was venerated in sects	burial place
0	1692	169200005	does the have the	commons
0	2514	251400007	served a vice president buried in	long degrees
1	1074	107400001	did some of the take place played	team
0	726	72600005	location country of is the nation of	most champs
0	359	35900006	the chairman of the for currently plays	totalcaps
0	2325	232500005	is the academic discipline of the an ingredient of the	abbreviation
0	3845	384500006	company created and	developer
0	1891	189100007	children died in	time zone
1	3415	341500001	the local authority of	local authority
0	2520	252000005	Is my truly the bof	musical artist
0	1910	191000006	the garrison of the line of the	garrison label
1	1452	145200002	home stadium of season is the location of birth of the	home stadium
0	356	35600003	awards have been awarded both to and	influenced
0	1665	166500005	are the children of	sname
1	1808	180800001	employer of has alsoe written	employer
0	3061	306100007	List all the artist of s have been produced by	active years start year
0	3174	317400004	manufactured the the	boosterengines
0	2942	294200003	are the notable commanders of the army one of the notable commanders is	past commanders
0	2815	281500004	sport played in uni of has made famous	place of burial
0	2166	216600003	is the governer of	birth place
1	1222	122200002	is the city nearest to the s in the	archipelago
1	145	14500001	country did the prime minister belong to was served by	nationality
0	2061	206100007	are the famous s known for	publisher
0	3130	313000007	all the alma mater of the relatives of	alternative names
1	1817	181700002	In places are the companies founded in operating	locations
1	775	77500001	To other locations does the s have flights fly to	target airport
0	1537	153700005	's current team is former team was	tenants
0	2354	235400006	served in military units and	active years end year
0	3195	319500003	List the home town of the s label is	record label
1	1444	144400002	the total religions followed by the ones living in	residence
1	3355	335500002	the children of the is the star of	children
1	1900	190000001	is the purposes are and	purpose
0	891	89100005	the voice is given by it's distributor is	birth date
0	3693	369300002	the regions served by	founded
