score	id1	id2	blockString	subQuery
1	0	0	Which [BLK]  [DES] is the resting place of #entity1Which [BLK]  [DES] the politician [DES] succeeded Samuel Hayes	COMMON  [TRP] ?e1 successor Samuel Hayes (settler) [TRP] ?e0 resting place ?e1
0	1	1	Which [BLK]  [DES] the sea [DES] the Aegean Sea flows	UNKNOWN  [TRP] ?e1 river mouth Aegean Sea
1	2	2	Which [BLK]  [DES] is the location city of the Denver Broncos which [DES] place of birth of the William C. Cramer	COMMON  [TRP] ?e0 place of birth William C. Cramer [TRP] ?e0 location city Denver Broncos
0	3	3	How [BLK]  [DES] people [DES] played for Newell's Old Boys	LIST  [TRP] ?e0 league BSC Old Boys
0	4	4	How [BLK]  [DES] different people [DES] are alumini of the University of Oxford working	COUNT  [TRP] ?e0 occupation Fergus Millar
0	5	5	Which [BLK]  [DES] universities [DES] located in Urban Areas	UNKNOWN  [TRP] ?e1 settlement type Urban areas in Sweden
1	6	6	Which [BLK]  [DES] sports [DES] are played in #entity1Which [BLK]  [DES] the alma mater of Amitava Datta	COMMON  [TRP] ?e1 alma mater Amitava Datta [TRP] ?e0 sport ?e1 [TRP] ?e0 type sport
0	7	7	Which [BLK]  [DES] philosophy [DES] has compiler as Stephen Law [DES] journal	COMMON  [TRP] ?e0 alma mater Stephen Law
0	8	8	Which [BLK]  [DES] the movies [DES] whose editors are born in London	COMMON  [TRP] ?e0 birth place London
0	9	9	Which [BLK]  [DES] sports [DES] are played by #entity1Which [BLK]  [DES] school [DES] owns Fr. Agnel Stadium	COMMON  [TRP] ?e1 owner Fr. Agnel Stadium [TRP] ?e1 type school [TRP] ?e0 sports ?e1
1	10	10	Which [BLK]  [DES] university [DES] provides license for WRVU	COMMON  [TRP] ?e0 licensee WRVU
1	11	11	Which [BLK]  [DES] country [DES] is Lawrence Okoye's nationality	COMMON  [TRP] ?e0 nationality Lawrence Okoye [TRP] ?e0 type country
1	12	12	Which [BLK]  [DES]  [DES] one does Jon Speelman play	UNKNOWN  [TRP] ?e1 field Jon Speelman
1	13	13	Which [BLK]  [DES] the basketball player [DES] #entity1 teamWhich [BLK]  [DES] Phoenix Suns was his draft team [DES] Los Angeles Clippers was his draft team	COMMON  [TRP] ?e1 draft team Phoenix Suns [TRP] ?e0 team ?e1
0	14	14	Which [BLK]  [DES] books [DES] Thomas Egerton , an editor	COMMON  [TRP] ?e0 unit Thomas Egerton Hale
1	15	15	Which [BLK]  [DES] currency [DES] is primarily used by #entity1Which [BLK]  [DES] company [DES] is the distributing label of VDE-Gallo Records	COMMON  [TRP] ?e1 distributing label VDE-Gallo Records [TRP] ?e0 currency ?e1 [TRP] ?e0 type currency
1	16	16	How [BLK]  [DES] states [DES] are in the Mediterranean Basketball Association	COUNT  [TRP] ?e0 country Mediterranean Basketball Association
0	17	17	Which [BLK]  [DES] city amongst #entity1 [DES] was the place for Soccer Bowl '76Which [BLK]  [DES] the one [DES] belongs to Boundary Dam	COMMON  [TRP] ?e1 owner Boundary Dam Power Station [TRP] ?e0 location city ?e1
1	18	18	Which [BLK]  [DES] the ones [DES] died of lung cancer	UNKNOWN  [TRP] ?e1 death cause Lung cancer
1	19	19	Which [BLK]  [DES] has published books about Jazz [DES] house	COMMON  [TRP] ?e0 non-fiction subject Jazz
1	20	20	Which [BLK]  [DES] the actors of Wrongfully Accused	UNKNOWN  [TRP] ?e1 starring Wrongfully Accused
1	21	21	Which [BLK]  [DES] is the field of interest of #entity1Which [BLK]  [DES] the advisor of Henri Maspero	COMMON  [TRP] ?e1 academic advisor Henri Maspero [TRP] ?e0 field ?e1
0	22	22	Which [BLK]  [DES] the rivers [DES] originate from within Pittsburg	COMMON  [TRP] ?e0 coordinates type Pittsburg, Utah
0	23	23	Which [BLK]  [DES] province [DES] was Dick Redding born	COMMON  [TRP] ?e0 brn Dick Redding
1	24	24	Which [BLK]  [DES] are some important people in NGOs headed by Donna Shalala	COMMON  [TRP] ?e0 key people Donna Shalala
0	25	25	Which [BLK]  [DES] the show [DES] whose theme composing band previously also	COMMON  [TRP] e1 Bryan Mantia music composer
0	26	26	Which [BLK]  [DES] source of river Raa [DES] is the sovereign state of Adriatic sea	COMMON  [TRP] ?e0 binomial authority Adriatic Sea
